Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved,Complexity,Class,NumberSolvedNormalized
733F,Drivers Dissatisfaction,Heaps binary search trees segment trees hash tables etc|Disjoint set union|Graphs|Trees,data structures|dsu|graphs|trees,341,0.756,Hard,0.0081024569
733E,Sleep in Class,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc|Two pointers,data structures|math|two pointers,290,0.739,Hard,0.0068906525
733D,Kostya the Sculptor,Heaps binary search trees segment trees hash tables etc,data structures,2285,0.739,Hard,0.0542935893
733C,Epidemic in Monstropolis,Constructive algorithms|Dynamic programming|Greedy algorithms|Two pointers,constructive algorithms|dp|greedy|two pointers,1765,0.706,Medium,0.0419379366
733B,Parade,Mathematics including integration differential equations etc,math,5190,0.366,Easy,0.1233189184
733A,Grasshopper And the String,Implementation problems programming technics simulation,implementation,6160,0,Easy,0.1463669629
732F,Tourist Reform,Dfs and similar,dfs and similar,441,0.645,Medium,0.0104785439
732E,Sockets,Greedy algorithms|Sortings orderings,greedy|sortings,985,0.353,Easy,0.0234044575
732D,Exams,Binary search|Greedy algorithms|Sortings orderings,binary search|greedy|sortings,2473,0.582,Medium,0.058760633
732C,Sanatorium,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,4705,0.433,Medium,0.1117948962
732B,Cormen --- The Best Friend Of a Man,Dynamic programming|Greedy algorithms,dp|greedy,6262,0.706,Medium,0.1487905717
732A,Buy a Shovel,Brute force|Constructive algorithms|Mathematics including integration differential equations etc,brute force|constructive algorithms|math,7442,0.433,Medium,0.176828399
731F,Video Cards,Brute force|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,brute force|data structures|implementation|number theory,1342,0.739,Hard,0.0318870883
731E,Funny Game,Dynamic programming|Games Sprague–Grundy theorem,dp|games,542,0.706,Medium,0.0128783919
731D,80-th Level Archeology,Brute force|Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Sortings orderings,brute force|data structures|greedy|sortings,595,0.739,Hard,0.014137718
