ID,Accepted,Total,Ratio
749E,225,637,0.3532182103610675
749D,1204,4578,0.26299694189602446
749C,2656,10436,0.2545036412418551
749B,4092,6430,0.6363919129082426
749A,5829,7897,0.7381284031910852
748F,52,186,0.27956989247311825
748E,292,3356,0.08700834326579261
748D,289,1690,0.17100591715976332
748C,2034,2858,0.7116864940517844
748B,1501,7010,0.21412268188302425
748A,3301,4832,0.6831539735099338
747F,101,168,0.6011904761904762
747E,990,2080,0.47596153846153844
747D,1103,4532,0.24338040600176522
747C,2107,4051,0.5201184892619106
747B,2961,5339,0.5545982393706687
747A,3405,4802,0.7090795501874219
746G,516,1616,0.3193069306930693
746F,187,573,0.3263525305410122
746E,865,3438,0.2515997673065736
746D,2393,9578,0.24984339110461473
746C,1875,5207,0.36009218359900136
746B,4375,5949,0.7354177172634057
746A,5022,6568,0.7646163215590743
745B,2347,6016,0.39012632978723405
745A,4671,7006,0.6667142449329146
744E,30,115,0.2608695652173913
744D,31,352,0.08806818181818182
744C,354,1807,0.19590481460985057
744B,904,2861,0.3159734358615869
744A,2708,8462,0.3200189080595604
743E,676,1790,0.3776536312849162
743D,1860,6373,0.2918562686332967
743C,3839,8037,0.477665795694911
743B,4879,10411,0.46863893958313324
743A,5427,14342,0.37839910751638545
742B,4478,23608,0.1896814639105388
742A,7025,15688,0.4477944926058134
741E,47,320,0.146875
741D,273,1754,0.1556442417331813
741C,912,2725,0.3346788990825688
741B,2372,5088,0.4661949685534591
741A,3364,10980,0.3063752276867031
740B,4399,5428,0.8104274134119381
740A,4989,21522,0.23180931140228603
739E,221,822,0.2688564476885645
739D,40,371,0.1078167115902965
739C,537,2725,0.19706422018348624
739B,1858,5213,0.3564166506809898
739A,3314,6486,0.5109466543324083
737F,13,83,0.1566265060240964
737E,14,62,0.22580645161290322
736E,69,377,0.1830238726790451
736D,149,311,0.4790996784565916
735E,373,783,0.4763729246487867
735D,3870,12935,0.29918824893699264
735C,3458,13339,0.25923982307519305
735B,4860,9862,0.4928006489555871
735A,5892,10031,0.5873791247133885
734F,562,1751,0.3209594517418618
734E,1208,4385,0.275484606613455
734D,2704,8868,0.30491655390166894
734C,3182,17003,0.18714344527436336
734B,7459,9393,0.7941019908442457
734A,8046,11207,0.7179441420540733
733F,519,2810,0.18469750889679715
733E,424,1118,0.37924865831842575
733D,2925,10296,0.2840909090909091
733C,2246,12195,0.1841738417384174
733B,6404,13233,0.4839416609990176
733A,7805,21748,0.35888357550119554
732F,592,2112,0.2803030303030303
732E,1299,5987,0.21697010188742274
732D,3052,8543,0.3572515509774084
732C,5334,12122,0.44002639828411155
732B,7113,12225,0.581840490797546
732A,8764,12988,0.6747767169695104
731F,1590,6883,0.23100392270812145
731E,699,1272,0.5495283018867925
731D,751,3402,0.22075249853027631
731C,3149,11613,0.2711616292086455
731B,4972,10339,0.4808975722990618
731A,6749,8092,0.8340336134453782
730L,21,98,0.21428571428571427
730K,30,348,0.08620689655172414
730J,706,2809,0.25133499466002135
730I,436,1235,0.35303643724696354
730H,1143,3677,0.31085123742181126
730G,802,1992,0.4026104417670683
730F,21,208,0.10096153846153846
730E,251,446,0.5627802690582959
730D,239,1276,0.18730407523510972
730C,384,1507,0.25481088254810885
730B,698,2509,0.27819848545237147
730A,620,2033,0.3049680275454993
729F,480,2350,0.20425531914893616
729E,1207,4526,0.2666813963764914
729D,1948,4208,0.4629277566539924
729C,2170,7803,0.27809816737152376
729B,3326,7788,0.4270672829994864
729A,4086,7400,0.5521621621621622
727F,273,1744,0.1565366972477064
727E,290,2124,0.13653483992467044
727D,816,2524,0.3232963549920761
727C,1682,3996,0.4209209209209209
727B,1235,5426,0.2276078142277921
727A,3196,8374,0.38165751134463816
725G,26,200,0.13
725F,175,388,0.45103092783505155
725E,388,1553,0.2498390212491951
725D,1780,4965,0.35850956696878145
725C,1981,5385,0.3678737233054782
725B,3783,7531,0.5023237285885008
725A,4537,8755,0.5182181610508281
724G,262,1084,0.24169741697416974
724F,87,243,0.35802469135802467
724E,379,1555,0.2437299035369775
724D,1611,5199,0.309867282169648
724C,1590,5356,0.29686333084391336
724B,2939,7529,0.3903572851640324
724A,4847,8208,0.5905214424951267
723F,786,3598,0.21845469705391884
723E,830,3052,0.27195281782437747
723D,3225,10769,0.2994707029436345
723C,3270,11137,0.2936158750112238
723B,6174,14046,0.43955574540794534
723A,9434,14283,0.6605054960442484
722F,220,832,0.2644230769230769
722E,226,787,0.28716645489199494
722D,2061,3751,0.5494534790722474
722C,3335,9356,0.35645575032064986
722B,4430,7884,0.5618975139523085
722A,4631,17689,0.2618011193397026
721E,176,1153,0.15264527320034693
721D,1440,5990,0.24040066777963273
721C,2474,17000,0.14552941176470588
721B,6040,16245,0.37180670975684826
721A,7988,10932,0.7306988657153312
720F,19,200,0.095
720E,15,139,0.1079136690647482
720D,32,180,0.17777777777777778
720C,19,109,0.1743119266055046
720B,148,648,0.22839506172839505
720A,266,1664,0.15985576923076922
719B,4902,13856,0.35378175519630484
719A,7647,23363,0.32731241706972564
718E,36,129,0.27906976744186046
718D,124,380,0.3263157894736842
718C,1281,8586,0.14919636617749826
718A,3036,13536,0.22429078014184398
717I,17,169,0.10059171597633136
717H,148,381,0.3884514435695538
717G,192,783,0.24521072796934865
717F,105,460,0.22826086956521738
717E,503,1716,0.2931235431235431
717D,395,1367,0.28895391367959034
717C,1522,4345,0.3502876869965478
717B,46,516,0.08914728682170543
717A,47,255,0.1843137254901961
716B,5211,22750,0.22905494505494506
716A,8233,13181,0.624611182763068
715E,34,98,0.3469387755102041
715D,72,255,0.2823529411764706
715C,473,1911,0.24751439037153322
715B,1263,11772,0.10728848114169215
715A,4009,10823,0.37041485724845236
714B,5369,16717,0.3211700663994736
714A,6122,20156,0.3037308989878944
713E,38,256,0.1484375
713D,511,1457,0.3507206588881263
713C,1067,2295,0.46492374727668845
713B,927,5775,0.1605194805194805
713A,4731,10932,0.4327661909989023
712E,268,789,0.3396704689480355
712D,945,3643,0.25940159209442765
712C,3455,5830,0.5926243567753001
712B,5176,10360,0.4996138996138996
712A,6288,8241,0.7630141973061522
711E,826,2894,0.28541810642709053
711D,2264,6735,0.33615441722345957
711C,3485,8842,0.3941415969237729
711B,5672,31901,0.17780006896335537
711A,9128,14358,0.635743139713052
710F,446,1921,0.23217074440395627
710E,2078,9315,0.22308105206655932
710D,399,4740,0.08417721518987342
710C,2729,4974,0.5486529955770004
710B,4242,15634,0.2713317129333504
710A,6081,9349,0.6504438977430741
709B,3303,13279,0.24873860983507795
709A,5871,12216,0.4805992141453831
708E,85,179,0.4748603351955307
708D,169,529,0.31947069943289225
708C,945,3219,0.293569431500466
708B,2054,11167,0.1839348079161816
708A,5304,13063,0.4060323049835413
707E,602,2381,0.252834943301134
707D,1569,7350,0.21346938775510205
707C,4785,12790,0.37412040656763096
707B,5696,14559,0.3912356617899581
707A,8713,14877,0.5856691537272299
706E,711,2610,0.27241379310344827
706D,2910,8328,0.34942363112391933
706C,4347,14760,0.2945121951219512
706B,7542,20926,0.36041288349421774
706A,7554,13136,0.5750609013398295
705B,5438,7965,0.682736974262398
705A,9302,12881,0.7221489014828041
704E,70,620,0.11290322580645161
704D,124,620,0.2
704C,121,568,0.2130281690140845
704B,606,2090,0.28995215311004785
704A,4415,24994,0.1766423941746019
703E,345,3773,0.09143917307182613
703D,1766,5935,0.29755686604886267
703C,1277,5480,0.23302919708029196
703B,4488,14230,0.31539002108222064
703A,8749,11824,0.7399357239512855
702F,121,1259,0.09610802223987291
702E,855,1786,0.4787234042553192
702D,1756,5800,0.3027586206896552
702C,2931,7782,0.3766383962991519
702B,3733,16201,0.23041787543978767
702A,6092,11512,0.529186935371786
701C,4448,12489,0.3561534150052046
701B,6183,13627,0.4537315623394731
701A,8255,12480,0.6614583333333334
700E,68,265,0.25660377358490566
700D,159,1035,0.1536231884057971
700C,450,1771,0.2540937323546019
700B,1616,3097,0.5217952857604133
700A,2242,4863,0.4610322845979848
699B,4929,18057,0.27296893171623193
699A,6277,13373,0.46937859866895987
698F,46,212,0.2169811320754717
698E,47,181,0.2596685082872928
698D,150,1363,0.11005135730007337
698C,665,2039,0.3261402648357038
698B,2949,9768,0.3019041769041769
698A,6030,12969,0.46495489243580845
697B,4102,19133,0.214393978989181
697A,6634,17002,0.39018938948359017
696F,29,133,0.21804511278195488
696E,154,701,0.21968616262482168
696D,414,882,0.46938775510204084
696C,1204,3438,0.35020360674810935
696B,1983,2821,0.7029422190712513
696A,3755,7514,0.4997338301836572
691F,547,1835,0.29809264305177113
691E,750,2246,0.333926981300089
691D,1655,4083,0.405339211364193
691C,1253,4345,0.28837744533947063
691B,2423,12314,0.19676790644794542
691A,4507,11957,0.37693401354854894
690F3,14,45,0.3111111111111111
690F2,24,129,0.18604651162790697
690F1,861,1489,0.5782404298186703
690E2,68,319,0.21316614420062696
690E1,304,646,0.47058823529411764
690D3,199,316,0.629746835443038
690D2,436,612,0.7124183006535948
690D1,949,1206,0.7868988391376451
690C3,304,736,0.41304347826086957
690C2,777,1498,0.5186915887850467
690C1,899,1819,0.49422759758108853
690B3,38,146,0.2602739726027397
690B2,84,258,0.32558139534883723
690B1,393,1370,0.28686131386861313
690A3,114,233,0.4892703862660944
690A2,205,3127,0.06555804285257436
690A1,1213,1683,0.720736779560309
689E,818,2096,0.3902671755725191
689D,1500,6654,0.2254283137962128
689C,2621,5920,0.4427364864864865
689B,3131,10414,0.30065296715959283
689A,3806,11760,0.3236394557823129
688B,7495,10522,0.712317049990496
688A,7443,11721,0.635014077297159
687E,146,367,0.3978201634877384
687D,537,1901,0.2824829037348764
687C,2449,5158,0.47479643272586275
687B,2663,12449,0.21391276407743595
687A,4981,12487,0.39889485064467045
686B,5236,9280,0.5642241379310344
686A,7309,12911,0.5661064208814189
685E,221,583,0.379073756432247
685D,294,1066,0.275797373358349
685C,251,2654,0.09457422758100979
685B,1890,6282,0.3008595988538682
685A,3128,10163,0.30778313490111187
683J,13,42,0.30952380952380953
683I,17,59,0.288135593220339
683H,69,147,0.46938775510204084
683G,103,208,0.4951923076923077
683F,114,199,0.5728643216080402
683E,156,220,0.7090909090909091
683D,234,368,0.6358695652173914
683C,258,431,0.5986078886310905
683B,274,501,0.5469061876247505
683A,506,1452,0.3484848484848485
682E,386,1779,0.21697582911748173
682D,1846,5790,0.3188255613126079
682C,2995,7806,0.3836792211119652
682B,5551,11138,0.498383910935536
682A,6296,15581,0.4040818946152365
681E,389,3516,0.11063708759954494
681D,1206,3701,0.3258578762496622
681C,3491,18851,0.18518911463582835
681B,5226,14781,0.35356200527704484
681A,6710,9100,0.7373626373626374
680B,5868,10993,0.5337942326935322
680A,6672,11618,0.5742812876570839
679E,80,487,0.16427104722792607
679D,170,440,0.38636363636363635
679C,822,2892,0.2842323651452282
679B,1523,6115,0.2490596892886345
679A,4806,18301,0.2626086006229168
678F,247,1423,0.1735769501054111
678E,626,1700,0.36823529411764705
678D,1780,8170,0.2178702570379437
678C,3031,10133,0.2991216816342643
678B,2298,6270,0.36650717703349284
678A,4887,9527,0.5129631573422904
677E,427,1401,0.3047822983583155
677D,1164,9152,0.1271853146853147
677C,3679,5139,0.7158980346370889
677B,4799,16394,0.2927290472123948
677A,8866,10165,0.8722085587801279
